"","inexpfte","ugds_nhpi","city","st_fips","avgfacsal","tuitionfee_out","highdeg","ccugprof","main","tuitfte","tuitionfee_in","locale","unitid","relaffil","curroper","distanceonly","womenonly","preddeg","annhi","ugds","ccbasic","zip","pftfac","hbcu","pptug_ef2","ugds_nra","ugds_white","nanti","pctpell","ugds_aian","numbranch","control","pbi","menonly","hcm2","ugds_unkn","aanapii","hsi","ugds_black","accredagency","tribal","ugds_hisp","ccsizset","ugds_2mor","ugds_asian","instnm","sch_deg","locale2","adm_rate","adm_rate_all","satvr25","satvr75","satmt25","satmt75","satwr25","satwr75","satvrmid","satmtmid","satwrmid","actcm25","actcm75","acten25","acten75","actmt25","actmt75","actwr25","actwr75","actcmmid","actenmid","actmtmid","actwrmid","sat_avg","sat_avg_all","ug","ugds_whitenh","ugds_blacknh","ugds_api","ugds_aianold","ugds_hispold","ug_nra","ug_unkn","ug_whitenh","ug_blacknh","ug_api","ug_aianold","ug_hispold","costt4_a","costt4_p","tuitionfee_prog","year","par_ed_pct_hs","md_faminc","dep_inc_avg","faminc_ind","faminc","age_entry","first_gen","ind_inc_avg","appl_sch_pct_ge5","loan_ever","dependent","appl_sch_pct_ge2","appl_sch_pct_ge3","married","pell_ever","appl_sch_pct_ge4","veteran","par_ed_pct_ps","pctfloan","female","debt_mdn","ug25abv","par_ed_pct_ms","grad_debt_mdn","age_entry_sq","agege24","lnfaminc","lnfaminc_ind","pct_white","pct_black","pct_asian","pct_hispanic","pct_ba","pct_grad_prof","pct_born_us","median_hh_inc","poverty_rate","unemp_rate","ln_median_hh_inc"
"11",13914,0,"Phoenix",4,NA,NA,1,-2,0,8183,NA,11,103732,NA,0,0,0,1,0,86,-2,85032,NA,0,0.1395,0,0.7674,0,0.763,0.0116,10,3,0,0,0,0.0116,0,0,0.0698,"National Accrediting Commission of Cosmetology Arts and Sciences",0,0.093,-2,0.0465,0,"Empire Beauty School-Paradise Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34124,16000,2010,0.3513513514,18131,59510,18078,32531,25,0.4256756757,18078,NA,NA,0.3488372093,0.3779069767,NA,0.2034883721,0.790697674,NA,NA,0.5743243243,0.9884,0.8837209302,10556,NA,NA,14167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8378,0.1304,"Phoenix",4,2491,9750,3,11,1,3313,9750,11,103787,27,0,0,0,3,1,92,22,85021,0.6,0,0.1196,0,0.1848,1,0.8293,0.5326,1,2,0,0,0,0,0,0,0.0326,NA,0,0.1196,8,0,0,"American Indian College Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18294,NA,NA,2010,0.5,14117,29173,15798,22485,26,0.5689655172,15798,NA,0.638888889,0.5,0.3055555556,NA,0.1527777778,NA,NA,NA,NA,0.5488,0.4861111111,4800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2581,0.0023,"Tucson",4,3047,NA,2,4,0,13497,NA,11,103927,-2,1,0,0,1,0,867,10,85745,0.5,0,0,0,0.3149,0,0.5817,0.0346,6,3,0,0,0,0.0531,0,0,0.0404,"Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges",0,0.5398,1,0.0069,0.0081,"Carrington College-Tucson",NA,NA,1,0.9973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20774,13295,2010,0.4483104717,16723,39044,19694,25416,27,0.5682502509,19694,0.0205080709,0.894151892,0.2957131516,0.256813972,0.0837523154,0.2069330511,0.88224398,0.0366499074,0.0239481344,0.4317497491,0.5897,0.773485049,9500,NA,NA,9500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",6269,0,"Phoenix",4,5679,NA,4,6,1,16664,NA,11,104090,-2,1,0,0,1,0,1636,22,85021,0.3837,0,0,0,0.272,0,0.9285,0.0507,4,3,0,0,0,0.1925,0,0,0.1834,"Accrediting Council for Independent Colleges and Schools",0,0.2965,9,0,0.0049,"Brookline College-Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29696,14650,2010,0.4863842663,10314,26590,12785,15555,28,0.5990922844,12785,0.0184132142,0.931627403,0.2006498781,0.255077173,0.0835364203,0.2083671812,0.958841051,0.0379095586,0.018819388,0.4009077156,0.9551,0.7841862984,8937,NA,NA,9500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2173,0.0016,"Tempe",4,9599,7518,2,1,1,2724,1734,12,105668,-2,1,0,0,1,0,11480,9,85281,1,0,0.8169,0.0012,0.535,0,0.1829,0.0199,1,1,0,0,0,0.0704,0,0,0.1653,"North Central Association of Colleges and Schools The Higher Learning Commission",0,0.1734,4,0.0113,0.0218,"Rio Salado College",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15778,NA,NA,2010,0.4840549442,17803,41164,23481,25336,32,0.5508072938,23481,0.069335748,0.756807451,0.1049091262,0.551775435,0.2589095143,0.2886617942,0.868184464,0.1301338853,0.0417178708,0.4491927062,0.1952,0.6719487743,4750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",5285,0.0037,"Yuma",4,6175,6560,2,1,1,679,2000,13,104160,-2,1,0,0,1,0,7856,5,85365,0.3233,0,0.6494,0.1012,0.2193,0,0.5212,0.0167,1,1,0,0,0,0.0285,0,1,0.0313,"North Central Association of Colleges and Schools The Higher Learning Commission",0,0.5859,3,9e-04,0.0125,"Arizona Western College",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12873,NA,NA,2010,0.450317662,22017,30076,21118,26039,24,0.6355781449,21118,0.0324569356,0.154850408,0.5494106981,0.2045330916,0.0977334542,0.2119673617,0.974433364,0.0583862194,0.0186763373,0.3644218551,0.0835,0.5533998187,3750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1722,0.0038,"Tucson",4,5136,18048,3,6,0,19470,18048,21,105163,-2,0,0,0,2,0,521,28,85704,0.0732,0,0.19,0,0.4165,0,0.7247,0.0499,142,3,0,0,1,0.0518,0,0,0.0614,"Accrediting Council for Independent Colleges and Schools",0,0.3973,6,0.0154,0.0038,"ITT Technical Institute-Tucson",NA,NA,0.3204,0.3449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25615,NA,NA,2010,0.4889808306,18432,42761,20510,26184,29,0.5463231895,20510,0.0148002837,0.828263292,0.25496643,0.2296208291,0.0699214397,0.2345573269,0.856067932,0.0283111836,0.1157866622,0.4536768105,0.8603,0.2943294744,4169,NA,NA,8065.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",3241,0.0216,"Avondale",4,5008,NA,2,4,1,12401,NA,22,106041,-2,1,0,0,2,0,3244,11,85323,NA,0,0,3e-04,0.4738,0,0.5997,0.049,5,3,0,0,0,0.1384,0,0,0.0327,"Accrediting Commission of Career Schools and Colleges",0,0.2075,3,0.0558,0.021,"Universal Technical Institute of Arizona Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50822,28650,2010,0.4689617142,29326,57754,20854,43366,23,0.5404915708,20854,0.014606088,0.933238545,0.6100950042,0.2152782266,0.0560330899,0.1238286047,0.747495638,0.0259161119,0.0510566794,0.4595084292,0.8598,0.0270148,12813,NA,NA,17250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",7609,0,"Phoenix",4,NA,NA,1,-2,0,8236,NA,11,106111,-2,1,0,0,1,0,204,-2,85051,NA,0,0.299,0,0.2941,0,0.9049,0.0049,15,3,0,0,0,0.0294,0,0,0.2794,"National Accrediting Commission of Cosmetology Arts and Sciences",0,0.3382,-2,0.0539,0,"Empire Beauty School-NW Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35490,16000,2010,0.4361370717,10602,29151,11804,17271,26,0.5358255452,11804,0.0249433107,0.922902494,0.3151927438,0.3741496599,0.1133786848,0.1678004535,0.927437642,0.052154195,NA,0.4641744548,0.9777,0.8934240363,7790,NA,NA,14556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",3140,0.0057,"Douglas",4,6501,8074,2,2,1,744,1560,42,104425,-2,1,0,0,2,0,4390,9,85607,0.2801,0,0.6278,9e-04,0.4333,0,0.3342,0.0091,1,1,0,0,0,0.0294,0,1,0.059,"North Central Association of Colleges and Schools The Higher Learning Commission",0,0.4292,3,0.0128,0.0207,"Cochise County Community College District",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8019,NA,NA,2010,0.4200104221,18998,29397,21045,24812,26,0.5044293903,21045,0.0295250321,0.232777065,0.4510055627,0.2597347026,0.1133932392,0.2366281558,0.943945229,0.0569105691,0.0513478819,0.4955706097,0.1101,0.5922122379,3521,NA,NA,6681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",5044,9e-04,"Phoenix",4,10008,7518,2,1,1,1488,1734,11,105428,-2,1,0,0,1,0,9325,2,85013,0.9793,0,0.6997,0.0034,0.32,0,0.2864,0.0403,1,1,0,0,0,0.1198,0,1,0.1236,"North Central Association of Colleges and Schools The Higher Learning Commission",0,0.3549,4,0.0102,0.0269,"Phoenix College",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12387,NA,NA,2010,0.4636599611,17377,32648,18218,23379,28,0.5994484101,18218,0.0663209936,0.545761486,0.357651031,0.450500422,0.2153623538,0.1895574581,0.906065356,0.1119016038,0.0184492946,0.4005515899,0.174,0.5990594477,5407.5,NA,NA,6550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",5299,0.0014,"Phoenix",4,9977,7518,2,1,1,1876,1734,11,364016,-2,1,0,0,1,0,5137,3,85032,1,0,0.6319,0.0019,0.6737,0,0.1642,0.0162,1,1,0,0,0,0.088,0,0,0.0374,"North Central Association of Colleges and Schools The Higher Learning Commission",0,0.1425,3,0.0091,0.0298,"Paradise Valley Community College",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11922,NA,NA,2010,0.4292168675,23629,46725,23194,33427,26,0.4737951807,23194,0.070999739,0.554685461,0.4348734012,0.4455755677,0.2103889324,0.1748890629,0.813886714,0.114330462,0.0268859306,0.5262048193,0.1392,0.5674758549,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2399,0.006,"Glendale",4,1157,13525,2,4,1,11275,13525,21,421708,-2,1,0,0,1,0,832,10,85302,1,0,0,0,0.5108,0,0.826,0.0661,2,3,0,0,0,0,0,0,0.1118,"Accrediting Bureau of Health Education Schools",0,0.2668,2,0.0156,0.0228,"Arizona College-Glendale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21851,NA,NA,2010,0.4682170543,16012,36650,20366,24210,30,0.5674418605,20366,0.0260972716,0.864768683,0.2360616845,0.2858837485,0.1073546856,0.2793594306,0.889679715,0.046856465,0.0361803084,0.4325581395,0.7328,0.815539739,9500,NA,NA,9500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",4650,8e-04,"Phoenix",4,4792,17586,3,11,1,13708,17586,11,428444,-2,1,0,0,3,0,1291,30,85021,0.2917,0,0.1534,0.0023,0.1905,0,0.5155,0.0178,33,3,0,0,0,0.6135,0,0,0.024,"Accrediting Council for Independent Colleges and Schools",0,0.1418,6,8e-04,0.0085,"The Art Institute of Phoenix",NA,NA,0.4354,0.4354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30167,NA,NA,2010,0.4993691061,15713,42534,17839,23802,29,0.5560167353,17839,0.0349691449,0.854593541,0.241471429,0.8133999412,0.2356744049,0.2110704459,0.786258115,0.0802767611,0.0357438624,0.4439832647,0.8906,0.7289023055,4250,NA,NA,10917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",5555,0.0016,"Thatcher",4,8186,8120,2,1,1,752,1520,33,104577,-2,1,0,0,1,0,5120,8,85552,0.2688,0,0.535,0.0061,0.5854,0,0.2406,0.092,1,1,0,0,0,0.0314,0,0,0.0412,"North Central Association of Colleges and Schools The Higher Learning Commission",0,0.2213,3,0.0055,0.0156,"Eastern Arizona College",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10501,NA,NA,2010,0.4397394137,16607,31804,14669,22008,25,0.4858849077,14669,0.0650069156,NA,0.428307976,0.3052097741,0.1595205164,0.2319041033,NA,0.0931304749,0.0179806362,0.5141150923,0,0.5896726602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",6542,0.0018,"Mesa",4,4148,NA,2,4,0,14755,NA,11,103909,-2,1,0,0,1,0,1099,10,85210,0.1944,0,0,0,0.2857,0,0.6053,0.0719,6,3,0,0,0,0.3567,0,0,0.0582,"Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges",0,0.2038,2,0.0118,0.01,"Carrington College-Mesa",NA,NA,1,0.9973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20231,13295,2010,0.4483104717,16723,39044,19694,25416,27,0.5682502509,19694,0.0205080709,0.894151892,0.2957131516,0.256813972,0.0837523154,0.2069330511,0.88224398,0.0366499074,0.0239481344,0.4317497491,0.6077,0.773485049,9500,NA,NA,9500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",7510,0.005,"Flagstaff",4,7987,20067,4,13,1,7331,7667,13,105330,-2,1,0,0,3,0,19980,16,86011,0.6458,0,0.1584,0.0366,0.6681,0,0.3269,0.0484,1,1,0,0,0,0.0115,0,1,0.0326,"North Central Association of Colleges and Schools The Higher Learning Commission",0,0.1561,16,0.0228,0.0189,"Northern Arizona University",NA,NA,0.6523,0.6523,470,580,480,590,460,560,525,535,510,20,25,19,26,19,26,6,8,23,23,23,7,1056,1056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19826,NA,NA,2010,0.3360135001,47061,80712,30979,64347,23,0.3658923963,30979,0.1111111111,0.89198036,0.6709401709,0.5066375705,0.2748681578,0.1331151118,0.641389344,0.1691216585,0.0155482815,0.6341076037,0.5245,0.612111293,10250,NA,NA,17000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
