"","inexpfte","city","st_fips","avgfacsal","highdeg","ccugprof","main","tuitfte","locale","unitid","relaffil","pctpell","curroper","ugds_nhpi","distanceonly","womenonly","ugds_aian","ugds","preddeg","annhi","ccbasic","zip","ugds_2mor","pftfac","hbcu","ugds_black","nanti","ugds_unkn","ugds_asian","numbranch","control","pptug_ef2","ugds_nra","pbi","menonly","hcm2","ugds_white","aanapii","hsi","accredagency","tribal","ugds_hisp","ccsizset","instnm","sch_deg","locale2","adm_rate","adm_rate_all","satvr25","satvr75","satmt25","satmt75","satwr25","satwr75","satvrmid","satmtmid","satwrmid","actcm25","actcm75","acten25","acten75","actmt25","actmt75","actwr25","actwr75","actcmmid","actenmid","actmtmid","actwrmid","sat_avg","sat_avg_all","ug","ugds_whitenh","ugds_blacknh","ugds_api","ugds_aianold","ugds_hispold","ug_nra","ug_unkn","ug_whitenh","ug_blacknh","ug_api","ug_aianold","ug_hispold","costt4_a","costt4_p","tuitionfee_in","tuitionfee_out","tuitionfee_prog","year","appl_sch_pct_ge3","md_faminc","loan_ever","married","par_ed_pct_ps","debt_mdn","age_entry","female","faminc","pctfloan","appl_sch_pct_ge2","pell_ever","first_gen","grad_debt_mdn","ug25abv","par_ed_pct_ms","par_ed_pct_hs","appl_sch_pct_ge4","appl_sch_pct_ge5","dep_inc_avg","ind_inc_avg","age_entry_sq","agege24","dependent","veteran","faminc_ind","lnfaminc","lnfaminc_ind","pct_white","pct_black","pct_asian","pct_hispanic","pct_ba","pct_grad_prof","pct_born_us","median_hh_inc","poverty_rate","unemp_rate","ln_median_hh_inc"
"11",13914,"Phoenix",4,NA,1,-2,0,8183,11,103732,NA,0.6349,0,0.04,0,0,0,25,1,0,-2,85032,0.04,NA,0,0.04,0,0,0,10,3,0.16,0,0,0,0,0.76,0,0,"National Accrediting Commission of Cosmetology Arts and Sciences",0,0.12,-2,"Empire Beauty School-Paradise Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16188,NA,NA,16750,2014,0.148456057,12423,0.818883611,0.1448931116,0.5099206349,7752,25,0.9429928741,19944,0.5873,0.3631235154,0.903503563,0.4900793651,9588,NA,NA,0.4333333333,0.0875890736,0.0561163895,31401,13070,NA,NA,0.375,0.0068289786,13070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8378,"Phoenix",4,2491,3,11,1,3313,11,103787,27,0.75,0,0.0449,0,0,0.6854,89,3,1,22,85021,0,0.6,0,0.0562,1,0,0.0225,1,2,0.0787,0,0,0,0,0.0449,0,0,NA,0,0.1461,8,"American Indian College Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23387,NA,11700,11700,NA,2014,NA,17102,0.587301587,NA,0.4528301887,10000,26,0.5873015873,21230,0.5375,0.3968253968,NA,0.5471698113,18835,NA,NA,NA,NA,NA,31241,9492,NA,NA,0.5396825397,NA,9492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2581,"Tucson",4,3047,2,4,0,13497,11,103927,-2,0.7434,1,0.0024,0,0,0.0425,424,1,0,10,85745,0.0142,0.5,0,0.0542,0,0.0094,0.0071,6,3,0,0,0,0,0,0.2759,0,0,"Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges",0,0.5943,1,"Carrington College-Tucson",NA,NA,1,0.99272727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22449,NA,NA,14283,2014,0.1421956396,16430,0.880378159,0.1796256994,0.4404119667,9500,26,0.8140073317,23153,0.5384,0.3343623384,0.820374301,0.5595880333,9500,NA,NA,0.4548798431,0.0769824426,0.040902952,34181,17472,NA,NA,0.3399575535,0.0108045533,17472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",6269,"Phoenix",4,5679,4,6,1,16664,11,104090,-2,0.687,1,0.0037,0,0,0.0575,1357,1,0,22,85021,0.0265,0.3837,0,0.199,0,0.0346,0.0214,4,3,0.3051,7e-04,0,0,0,0.3478,0,0,"Accrediting Council for Independent Colleges and Schools",0,0.3088,9,"Brookline College-Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31715,NA,NA,85000,2014,0.164043082,13439,0.902789285,0.2090582712,0.4439941046,9500,28,0.7785142226,19144,0.6783,0.3739298536,0.863021265,0.5560058954,9500,NA,NA,0.4517317612,0.0853355427,0.0505385253,27178,16542,NA,NA,0.244683789,0.0077326705,16542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2173,"Tempe",4,9599,2,1,1,2724,12,105668,-2,0.1987,1,0.0026,0,0,0.0204,8366,1,0,9,85281,0.0195,1,0,0.1248,0,0.0629,0.023,1,1,0.8099,0.0053,0,0,0,0.5411,0,0,"North Central Association of Colleges and Schools The Higher Learning Commission",0,0.2005,4,"Rio Salado College",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11855,NA,2046,7830,NA,2014,0.3765592516,18787,0.658913721,0.2631237006,0.4902021773,3500,31,0.6656704782,25083,0.1779,0.6832120582,0.863955302,0.5097978227,9000,NA,NA,0.4426127527,0.2111486486,0.1201923077,36625,22809,NA,NA,0.1646309771,0.011954262,22809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",5285,"Yuma",4,6175,2,1,1,679,13,104160,-2,0.5581,1,0.003,0,0,0.0114,7218,1,0,5,85365,0.0109,0.3233,0,0.0292,0,0.0296,0.01,1,1,0.655,0.0313,0,0,0,0.1793,0,1,"North Central Association of Colleges and Schools The Higher Learning Commission",0,0.6952,3,"Arizona Western College",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14247,NA,2480,8085,NA,2014,0.1483170467,20600,0.062106406,0.1626492942,0.3659242117,4250,23,0.5376764387,24741,0.0469,0.2601520087,0.980890337,0.6340757883,5500,NA,NA,0.4743997686,0.0985884908,0.0592833876,28177,19047,NA,NA,0.623669924,0.0078175896,19047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1722,"Tucson",4,5136,3,6,0,19470,21,105163,-2,0.8191,0,0.005,0,0,0.0525,400,2,0,28,85704,0.035,0.0732,0,0.0625,0,0.0425,0.0275,142,3,0.24,0,0,0,1,0.4375,0,0,"Accrediting Council for Independent Colleges and Schools",0,0.3375,6,"ITT Technical Institute-Tucson",NA,NA,0.9358,0.85361152058056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27071,NA,18048,18048,NA,2014,0.1155599665,17481,0.800189188,0.2337406569,0.5027142493,13566,30,0.3006544056,24793,0.7311,0.3016158546,0.814378315,0.4972857507,25827.5,NA,NA,0.4464891136,0.060710852,0.0355891201,39094,20898,NA,NA,0.2140619669,0.0309214403,20898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",3241,"Avondale",4,5008,2,4,1,12401,22,106041,-2,0.4913,1,0.0342,0,0,0.0551,2340,2,0,11,85323,0.0786,NA,0,0.0316,0,0.0385,0.0222,5,3,0,4e-04,0,0,0,0.4987,0,0,"Accrediting Commission of Career Schools and Colleges",0,0.2406,3,"Universal Technical Institute of Arizona Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23166,NA,NA,41900,2014,0.1853585471,27941,0.864444861,0.1262872121,0.467629145,14243,23,0.0337951694,42494,0.6449,0.3428196967,0.706234788,0.532370855,18500,NA,NA,0.4551094067,0.0462460213,0.0260250889,54746,21461,NA,NA,0.6319041378,0.0254633964,21461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",7609,"Phoenix",4,NA,1,-2,0,8236,11,106111,-2,0.8259,1,0.0079,0,0,0.0476,126,1,0,-2,85051,0.0159,NA,0,0.2222,0,0.0635,0.0238,15,3,0.2857,0,0,0,0,0.2302,0,0,"National Accrediting Commission of Cosmetology Arts and Sciences",0,0.3889,-2,"Empire Beauty School-NW Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17014,NA,NA,16750,2014,0.1534606953,13687,0.791105543,0.1331036643,0.4486508256,6961.5,26,0.9242092076,21315,0.6556,0.3849044785,0.903225807,0.5513491744,9833,NA,NA,0.4953685058,0.0704666458,0.0391481365,35426,13415,NA,NA,0.3589101159,0.0090823677,13415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",3140,"Douglas",4,6501,2,2,1,744,42,104425,-2,0.336,1,0.0067,0,0,0.0074,3759,2,0,9,85607,0.0229,0.2801,0,0.0492,0,0.0213,0.013,1,1,0.5539,0.004,0,0,0,0.4185,0,1,"North Central Association of Colleges and Schools The Higher Learning Commission",0,0.457,3,"Cochise County Community College District",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10243,NA,1800,6000,NA,2014,0.1562990068,17973,0.161526398,0.1907997909,0.4799498747,3952,24,0.562990068,24232,0.0721,0.296915839,0.936225823,0.5200501253,6500,NA,NA,0.4154135338,0.0893883952,0.0575013068,28668,19240,NA,NA,0.5295347622,0.0130684788,19240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",5044,"Phoenix",4,10008,2,1,1,1488,11,105428,-2,0.4639,1,0.0027,0,0,0.0272,9921,1,0,2,85013,0.0152,0.9793,0,0.1104,0,0.0895,0.0345,1,1,0.6933,0.0042,0,0,0,0.2543,0,1,"North Central Association of Colleges and Schools The Higher Learning Commission",0,0.4619,4,"Phoenix College",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12413,NA,2046,7830,NA,2014,0.3226886069,16685,0.446660159,0.1407056199,0.4057971014,6000,27,0.6004741319,21422,0.2621,0.5709106122,0.895969879,0.5942028986,11389,NA,NA,0.430694909,0.1984381537,0.1224375959,28380,16590,NA,NA,0.4098452099,0.0069725282,16590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",5299,"Phoenix",4,9977,2,1,1,1876,11,364016,-2,0.2507,1,0.0026,0,0,0.0157,6515,1,0,3,85032,0.0158,1,0,0.0375,0,0.1165,0.0244,1,1,0.652,0.0043,0,0,0,0.5994,0,0,"North Central Association of Colleges and Schools The Higher Learning Commission",0,0.1839,3,"Paradise Valley Community College",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12089,NA,2046,7830,NA,2014,0.3215070644,20160,0.447095761,0.1387755102,0.5235849057,3653,26,0.5701726845,27599,0.1431,0.5764521193,0.844583987,0.4764150943,7394,NA,NA,0.4096516691,0.1896389325,0.1155416013,36436,19791,NA,NA,0.4690737834,0.0081632653,19791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2399,"Glendale",4,1157,2,4,1,11275,21,421708,-2,0.7182,1,0,0,0,0.0524,630,1,0,10,85302,0.0302,1,0,0.1095,0,0.0048,0.0222,2,3,0,0,0,0,0,0.2635,0,0,"Accrediting Bureau of Health Education Schools",0,0.5175,2,"Arizona College-Glendale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24341,NA,15223,15223,NA,2014,0.1805225653,14626,0.803800475,0.206175772,0.423594132,9473,28,0.8503562945,20107,0.952,0.4104513064,0.86175772,0.576405868,9477,NA,NA,0.4511002445,0.1073634204,0.0669833729,29341,16100,NA,NA,0.3026128266,0.0142517815,16100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",4650,"Phoenix",4,4792,3,11,1,13708,11,428444,-2,0.6555,1,0.001,0,0,0.0396,1009,3,0,30,85021,0.0168,0.2917,0,0.0595,0,0.2894,0.0109,33,3,0.1774,0,0,0,0,0.2507,0,0,"Accrediting Council for Independent Colleges and Schools",0,0.332,6,"The Art Institute of Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29650,NA,17416,17416,NA,2014,0.147148871,14678,0.892460773,0.1732874091,0.4899261249,12004.5,28,0.6951779564,22187,0.799,0.3754688098,0.876195943,0.5100738751,22141.5,NA,NA,0.4568262496,0.0769996173,0.0444316877,36770,16069,NA,NA,0.2955223881,0.0212399541,16069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",5555,"Thatcher",4,8186,2,1,1,752,33,104577,-2,0.1859,1,0.0056,0,0,0.0872,4634,1,0,8,85552,0.0108,0.2688,0,0.0457,0,0.0358,0.0108,1,1,0.6196,0.0093,0,0,0,0.585,0,0,"North Central Association of Colleges and Schools The Higher Learning Commission",0,0.2098,3,"Eastern Arizona College",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11640,NA,2000,9200,NA,2014,0.2438016529,15613,NA,0.152892562,0.5699100572,NA,23,0.5743801653,20373,0,0.4022038567,NA,0.4300899428,NA,NA,NA,0.3908421913,0.1673553719,0.117768595,27752,12156,NA,NA,0.5268595041,NA,12156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",6542,"Mesa",4,4148,2,4,0,14755,11,103909,-2,0.7123,1,0.0056,0,0,0.1476,718,1,0,10,85210,0.0125,0.1944,0,0.0543,0,0.0042,0.0195,6,3,0.0139,0,0,0,0,0.3677,0,0,"Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges",0,0.3886,2,"Carrington College-Mesa",NA,NA,1,0.99272727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23974,NA,NA,14283,2014,0.1421956396,16430,0.880378159,0.1796256994,0.4404119667,9500,26,0.8140073317,23153,0.5455,0.3343623384,0.820374301,0.5595880333,9500,NA,NA,0.4548798431,0.0769824426,0.040902952,34181,17472,NA,NA,0.3399575535,0.0108045533,17472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
