Major,Major_category,ShareWomen (std),Median Income (std)
ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering,-1.069629613,0.901038902
BIOLOGICAL ENGINEERING,Engineering,-0.474850809,0.832789869
INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering,-0.3762034,0.825206643
GENERAL ENGINEERING,Engineering,-0.769739835,0.749374384
ARCHITECTURAL ENGINEERING,Engineering,-0.34590227,0.597709866
ELECTRICAL ENGINEERING TECHNOLOGY,Engineering,-0.597360852,0.446045348
MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering,-0.456122257,0.446045348
MISCELLANEOUS ENGINEERING,Engineering,-1.043606796,0.29438083
CIVIL ENGINEERING,Engineering,-0.8820959,0.29438083
ENGINEERING TECHNOLOGIES,Engineering,-0.776570048,0.29438083
GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering,-0.468599035,0.29438083
ENVIRONMENTAL ENGINEERING,Engineering,-0.381613865,0.29438083
INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering,-0.786129391,-0.008948207
ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering,-1.112510848,-0.160612725
MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering,-1.532812926,-0.463941761
MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering,-0.99990123,-0.463941761
ARCHITECTURE,Engineering,0.093325591,-0.463941761
NURSING,Health,2.026169513,0.142716312
MEDICAL TECHNOLOGIES TECHNICIANS,Health,1.408379826,-0.084780466
MEDICAL ASSISTING SERVICES,Health,2.16437933,-0.312277243
PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health,0.872679643,-0.463941761
MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health,1.962147343,-0.767270797
HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health,1.454028383,-0.843103056
NUTRITION SCIENCES,Health,1.888939474,-0.843103056
COMMUNITY AND PUBLIC HEALTH,Health,1.574327226,-0.918935315
HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health,0.594089139,-0.956851445
TREATMENT THERAPY PROFESSIONS,Health,1.26898223,-0.994767574
GENERAL MEDICAL AND HEALTH SERVICES,Health,1.498159235,-1.04026693
COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health,2.339122257,-1.373928869
ASTRONOMY AND ASTROPHYSICS,Physical Sciences,0.45962733,1.204367938
"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",Physical Sciences,1.393359087,-0.008948207
PHYSICS,Physical Sciences,-0.643754752,-0.084780466
OCEANOGRAPHY,Physical Sciences,1.126083361,-0.107530143
PHYSICAL SCIENCES,Physical Sciences,-0.228533365,-0.463941761
CHEMISTRY,Physical Sciences,0.326697991,-0.53977402
GEOLOGY AND EARTH SCIENCE,Physical Sciences,0.174768978,-0.752104345
GEOSCIENCES,Physical Sciences,0.700004396,-0.767270797
ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences,-0.472625796,-0.843103056
MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences,0.585388413,-0.843103056
,Average,,
,Standard Deviation,,
