"","inexpfte","city","st_fips","avgfacsal","ugds_black","highdeg","ccugprof","main","tuitfte","locale","unitid","relaffil","curroper","distanceonly","womenonly","preddeg","annhi","ccbasic","zip","pctpell","pftfac","hbcu","ugds_2mor","nanti","ugds_white","ugds","ugds_hisp","numbranch","ugds_unkn","ugds_nra","control","pbi","menonly","pptug_ef2","hcm2","aanapii","hsi","ugds_aian","ugds_asian","accredagency","tribal","ccsizset","instnm","ugds_nhpi","sch_deg","locale2","adm_rate","adm_rate_all","satvr25","satvr75","satmt25","satmt75","satwr25","satwr75","satvrmid","satmtmid","satwrmid","actcm25","actcm75","acten25","acten75","actmt25","actmt75","actwr25","actwr75","actcmmid","actenmid","actmtmid","actwrmid","sat_avg","sat_avg_all","ug","ugds_whitenh","ugds_blacknh","ugds_api","ugds_aianold","ugds_hispold","ug_nra","ug_unkn","ug_whitenh","ug_blacknh","ug_api","ug_aianold","ug_hispold","costt4_a","costt4_p","tuitionfee_in","tuitionfee_out","tuitionfee_prog","year","loan_ever","par_ed_pct_ps","appl_sch_pct_ge4","appl_sch_pct_ge5","appl_sch_pct_ge2","md_faminc","pctfloan","debt_mdn","pell_ever","married","ug25abv","grad_debt_mdn","appl_sch_pct_ge3","par_ed_pct_hs","veteran","female","faminc","first_gen","age_entry","par_ed_pct_ms","dep_inc_avg","ind_inc_avg","age_entry_sq","agege24","dependent","faminc_ind","lnfaminc","lnfaminc_ind","pct_white","pct_black","pct_asian","pct_hispanic","pct_ba","pct_grad_prof","pct_born_us","median_hh_inc","poverty_rate","unemp_rate","ln_median_hh_inc"
"11",13914,"Phoenix",4,NA,0.0698,1,-2,0,8183,11,103732,NA,0,0,0,1,0,-2,85032,0.6598,NA,0,0.0233,0,0.6047,43,0.1628,10,0.0465,0,3,0,0,0.2093,0,0,0,0.0465,0,"National Accrediting Commission of Cosmetology Arts and Sciences",0,-2,"Empire Beauty School-Paradise Valley",0.0465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15718,NA,NA,16000,2013,0.809272919,0.5235576923,0.0944854233,0.0646294345,0.3677555321,12929,0.6598,6667,0.898138391,0.1394450299,0.4651,9500,0.1615735862,0.4302884615,0.0070249385,0.942395504,21018,0.4764423077,25,NA,32793,13627,NA,NA,0.3856691254,13627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8378,"Phoenix",4,2491,0.1169,3,11,1,3313,11,103787,27,0,0,0,3,1,22,85021,0.7945,0.6,0,0,1,0.0649,77,0.1948,1,0,0,2,0,0,0.1169,0,0,0,0.5584,0,NA,0,8,"American Indian College Inc",0.0649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20601,NA,12000,12000,NA,2013,0.682926829,NA,NA,NA,0.5609756098,18664,0.6986,14407.5,NA,NA,0.4684,NA,NA,NA,NA,0.512195122,20191,NA,25,NA,29000,8934,NA,NA,0.5609756098,8934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2581,"Tucson",4,3047,0.0364,2,4,0,13497,11,103927,-2,1,0,0,1,0,10,85745,0.6507,0.5,0,0.0136,0,0.2614,440,0.6136,6,0.0205,0,3,0,0,0.0068,0,0,0,0.0477,0.0023,"Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges",0,1,"Carrington College-Tucson",0.0045,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24529,NA,NA,14287,2013,0.899580793,0.4467726397,0.0847942073,0.048589939,0.357660061,16176,0.5356,9447,0.85632622,0.1764481707,0.3568,9500,0.1512957317,0.4501445087,0.0093368902,0.8025914634,23287,0.5532273603,26,NA,34692,17732,NA,NA,0.3275533537,17732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",6269,"Phoenix",4,5679,0.2077,4,6,1,16664,11,104090,-2,1,0,0,1,0,22,85021,0.6609,0.3837,0,0.0145,0,0.3249,828,0.2512,4,0.0749,0.0229,3,0,0,0,0,0,0,0.0797,0.0193,"Accrediting Council for Independent Colleges and Schools",0,9,"Brookline College-Phoenix",0.0048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29302,NA,NA,14500,2013,0.917697842,0.4387678437,0.0785611511,0.0497841727,0.3723741007,13632,0.6346,9499,0.888633094,0.2046043165,0.6389,9500,0.1571223022,0.460555973,0.0166906475,0.7766906475,19367,0.5612321563,28,NA,28718,16133,NA,NA,0.2569784173,16133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2173,"Tempe",4,9599,0.1313,2,1,1,2724,12,105668,-2,1,0,0,1,0,9,85281,0.2559,1,0,0.0207,0,0.5498,10217,0.1929,1,0.0644,0.0013,1,0,0,0.8054,0,0,0,0.0174,0.0207,"North Central Association of Colleges and Schools The Higher Learning Commission",0,4,"Rio Salado College",0.0016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11811,NA,1974,7758,NA,2013,0.715751358,0.48403009,0.2024743512,0.1146650573,0.656004828,16326,0.2366,3500,0.876584188,0.2573928787,0.4699,11750,0.363910682,0.4556665433,0.0106618387,0.6655602494,23125,0.51596991,31,NA,35699,21093,NA,NA,0.1391068196,21093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",5285,"Yuma",4,6175,0.0325,2,1,1,679,13,104160,-2,1,0,0,1,0,5,85365,0.5803,0.3233,0,8e-04,0,0.1892,7442,0.6517,1,0.0282,0.072,1,0,0,0.6318,0,0,1,0.0114,0.0106,"North Central Association of Colleges and Schools The Higher Learning Commission",0,3,"Arizona Western College",0.0035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14337,NA,2420,7895,NA,2013,0.083350526,0.3752828054,0.1002682071,0.0571487518,0.2717144626,20286,0.0554,3750,0.979574995,0.1753662059,0.3166,5500,0.1528780689,0.4510746606,0.0070146482,0.5306375077,24171,0.6247171946,23,NA,28520,17883,NA,NA,0.5910872705,17883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1722,"Tucson",4,5136,0.0538,3,6,0,19470,21,105163,-2,0,0,0,2,0,28,85704,0.7304,0.0732,0,0.0391,0,0.4034,409,0.3716,142,0.0367,0,3,0,0,0.2543,1,0,0,0.0733,0.0171,"Accrediting Council for Independent Colleges and Schools",0,6,"ITT Technical Institute-Tucson",0.0049,NA,NA,0.9703,0.83878444501673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26194,NA,18048,18048,NA,2013,0.822872697,0.4942409923,0.0627492649,0.0363890425,0.306439405,17507,0.7674,13000,0.829495502,0.2415795756,0.7457,25222,0.1197345055,0.4540940638,0.1063433379,0.3028150563,24748,0.5057590077,30,NA,39235,20677,NA,NA,0.2193531484,20677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",3241,"Avondale",4,5008,0.0282,2,4,1,12401,22,106041,-2,1,0,0,2,0,11,85323,0.4808,NA,0,0.083,0,0.5019,2337,0.2383,5,0.0329,4e-04,3,0,0,0,0,0,0,0.0526,0.0227,"Accrediting Commission of Career Schools and Colleges",0,3,"Universal Technical Institute of Arizona Inc",0.0398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25295,NA,NA,40900,2013,0.881331029,0.4798647077,0.0464995678,0.0278305964,0.2637856525,27498,0.6294,13136.5,0.730423509,0.1254969749,0.3196,18228.5,0.0929127053,0.4466758271,0.0280034572,0.0319792567,42064,0.5201352923,23,NA,54641,20979,NA,NA,0.6263612792,20979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",7609,"Phoenix",4,NA,0.2151,1,-2,0,8236,11,106111,-2,1,0,0,1,0,-2,85051,0.8056,NA,0,0,0,0.2791,172,0.3895,15,0.0407,0.0058,3,0,0,0.2442,0,0,0,0.0465,0.0116,"National Accrediting Commission of Cosmetology Arts and Sciences",0,-2,"Empire Beauty School-NW Phoenix",0.0116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17239,NA,NA,16000,2013,0.752129817,0.4543568465,0.0685598377,0.0365111562,0.3793103448,13628,0.7555,5888,0.907099392,0.1354969574,0.4244,9001,0.1529411765,0.4906639004,0.0077079108,0.9184584178,20940,0.5456431535,26,NA,34456,13303,NA,NA,0.3610547667,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",3140,"Douglas",4,6501,0.0562,2,2,1,744,42,104425,-2,1,0,0,2,0,9,85607,0.308,0.2801,0,0.0232,0,0.4212,3787,0.4423,1,0.0222,0.004,1,0,0,0.5862,0,0,1,0.0074,0.0172,"North Central Association of Colleges and Schools The Higher Learning Commission",0,3,"Cochise County Community College District",0.0063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9792,NA,1752,6000,NA,2013,0.189217759,0.4933753943,0.0909090909,0.0639534884,0.3070824524,19294,0.0706,3500,0.930232558,0.2182875264,0.4534,6000,0.1511627907,0.4176656151,0.0068710359,0.5702959831,25874,0.5066246057,25,NA,31255,20447,NA,NA,0.5021141649,20447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",5044,"Phoenix",4,10008,0.1256,2,1,1,1488,11,105428,-2,1,0,0,1,0,2,85013,0.4733,0.9793,0,0.0139,0,0.2753,10234,0.4205,1,0.0947,0.0044,1,0,0,0.6956,0,0,1,0.0298,0.0341,"North Central Association of Colleges and Schools The Higher Learning Commission",0,4,"Phoenix College",0.0019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12521,NA,1974,7758,NA,2013,0.52667054,0.4058457115,0.1864032539,0.1128413713,0.5571179547,14955,0.2878,5500,0.902614759,0.1531667635,0.504,11164,0.3116792562,0.4462545919,0.0092969204,0.5931435212,20149,0.5941542885,28,NA,28762,15499,NA,NA,0.3506101104,15499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",5299,"Phoenix",4,9977,0.0369,2,1,1,1876,11,364016,-2,1,0,0,1,0,3,85032,0.245,1,0,0.016,0,0.6173,7068,0.1797,1,0.1053,0.0025,1,0,0,0.6636,0,0,0,0.0154,0.0249,"North Central Association of Colleges and Schools The Higher Learning Commission",0,3,"Paradise Valley Community College",0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11978,NA,1974,7758,NA,2013,0.477216917,0.5286441757,0.1969986357,0.121691678,0.5770804911,20630,0.158,3500,0.842564802,0.1375170532,0.3603,NA,0.3236016371,0.4108847868,0.0092769441,0.5648021828,28478,0.4713558243,26,NA,38107,19990,NA,NA,0.4684856753,19990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2399,"Glendale",4,1157,0.1334,2,4,1,11275,21,421708,-2,1,0,0,1,0,10,85302,0.8237,1,0,0.0502,0,0.3202,937,0.3917,2,0.0053,0,3,0,0,0,0,0,0,0.0832,0.0096,"Accrediting Bureau of Health Education Schools",0,2,"Arizona College-Glendale",0.0064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24240,NA,15024,15024,NA,2013,0.800911854,0.4309210526,0.1073961499,0.0739614995,0.4154002026,14227,0.8482,9473,0.888551165,0.2147922999,0.4632,9475,0.1849037487,0.4335526316,0.0197568389,0.8323201621,19881,0.5690789474,28,NA,29646,15379,NA,NA,0.3156028369,15379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",4650,"Phoenix",4,4792,0.0431,3,11,1,13708,11,428444,-2,1,0,0,3,0,30,85021,0.6631,0.2917,0,0.0182,0,0.2344,1045,0.2957,33,0.3713,0,3,0,0,0.2029,0,0,0,0.022,0.0144,"Accrediting Council for Independent Colleges and Schools",0,6,"The Art Institute of Phoenix",0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30617,NA,17416,17416,NA,2013,0.903013306,0.4808254727,0.0801917558,0.0462757631,0.3816527524,14658,0.8232,9834,0.886544482,0.180537438,0.3589,21000,0.1522306288,0.4668204473,0.0317636316,0.6850378294,22044,0.5191745273,28,NA,36712,16000,NA,NA,0.2917753718,16000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",5555,"Thatcher",4,8186,0.0426,2,1,1,752,33,104577,-2,1,0,0,1,0,8,85552,0.1975,0.2688,0,0.0106,0,0.6025,4812,0.1989,1,0.0405,0.0064,1,0,0,0.6002,0,0,0,0.0829,0.0114,"North Central Association of Colleges and Schools The Higher Learning Commission",0,3,"Eastern Arizona College",0.0042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11649,NA,1760,8360,NA,2013,NA,0.5769540693,0.1775510204,0.1319727891,0.4020408163,16095,0,NA,NA,0.1829931973,0.5279,NA,0.2598639456,0.3908138598,NA,0.5727891156,20671,0.4230459307,24,NA,28045,12560,NA,NA,0.5238095238,12560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",6542,"Mesa",4,4148,0.0463,2,4,0,14755,11,103909,-2,1,0,0,1,0,10,85210,0.7296,0.1944,0,0.0072,0,0.4486,691,0.3343,6,0.013,0,3,0,0,0.097,0,0,0,0.1172,0.026,"Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges",0,2,"Carrington College-Mesa",0.0072,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26492,NA,NA,14287,2013,0.899580793,0.4467726397,0.0847942073,0.048589939,0.357660061,16176,0.5289,9447,0.85632622,0.1764481707,0.4588,9500,0.1512957317,0.4501445087,0.0093368902,0.8025914634,23287,0.5532273603,26,NA,34692,17732,NA,NA,0.3275533537,17732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
