"","inexpfte","ugds_2mor","city","ugds_nhpi","st_fips","avgfacsal","ugds_aian","ugds_asian","highdeg","ccugprof","main","tuitfte","ugds_nra","ugds_unkn","locale","unitid","relaffil","ugds","curroper","distanceonly","womenonly","preddeg","annhi","ccbasic","zip","pctpell","pftfac","hbcu","ugds_white","nanti","ugds_black","numbranch","control","pbi","menonly","ugds_hisp","hcm2","aanapii","hsi","pptug_ef2","accredagency","tribal","ccsizset","instnm","sch_deg","locale2","adm_rate","adm_rate_all","satvr25","satvr75","satmt25","satmt75","satwr25","satwr75","satvrmid","satmtmid","satwrmid","actcm25","actcm75","acten25","acten75","actmt25","actmt75","actwr25","actwr75","actcmmid","actenmid","actmtmid","actwrmid","sat_avg","sat_avg_all","ug","ugds_whitenh","ugds_blacknh","ugds_api","ugds_aianold","ugds_hispold","ug_nra","ug_unkn","ug_whitenh","ug_blacknh","ug_api","ug_aianold","ug_hispold","costt4_a","costt4_p","tuitionfee_in","tuitionfee_out","tuitionfee_prog","year","appl_sch_pct_ge3","appl_sch_pct_ge2","debt_mdn","pell_ever","par_ed_pct_ps","dep_inc_avg","ind_inc_avg","faminc_ind","veteran","dependent","pctfloan","par_ed_pct_hs","md_faminc","female","age_entry","first_gen","appl_sch_pct_ge5","appl_sch_pct_ge4","grad_debt_mdn","faminc","married","loan_ever","ug25abv","par_ed_pct_ms","age_entry_sq","agege24","lnfaminc","lnfaminc_ind","pct_white","pct_black","pct_asian","pct_hispanic","pct_ba","pct_grad_prof","pct_born_us","median_hh_inc","poverty_rate","unemp_rate","ln_median_hh_inc"
"11",13914,0,"Phoenix",0,4,NA,0.027,0.0405,1,-2,0,8183,0,0.027,11,103732,NA,74,0,0,0,1,0,-2,85032,0.6042,NA,0,0.6622,0,0.0946,10,3,0,0,0.1486,0,0,0,0.1757,"National Accrediting Commission of Cosmetology Arts and Sciences",0,-2,"Empire Beauty School-Paradise Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16183,NA,NA,16000,2012,0.2120418848,0.5052356021,8668,0.856020942,0.5423197492,46329,17468,17468,NA,0.3507853403,0.6181,NA,17045,0.9214659686,26,0.4576802508,0.054973822,0.0942408377,12529,27592,0.1989528796,0.916230367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8378,0,"Phoenix",0.0274,4,2491,0.5753,0.0137,3,11,1,3313,0,0,11,103787,27,73,0,0,0,3,1,22,85021,0.7674,0.6,0,0.1233,1,0.1096,1,2,0,0,0.1507,0,0,0,0.1096,NA,0,8,"American Indian College Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21742,NA,11700,11700,NA,2012,NA,NA,10207.5,NA,NA,36283,12051,12051,NA,0.4375,0.6163,NA,19725,0.5416666667,26,NA,NA,NA,NA,22652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2581,0.005,"Tucson",0,4,3047,0.0451,0.005,2,4,0,13497,0,0.0426,11,103927,-2,399,1,0,0,1,0,10,85745,0.4842,0.5,0,0.3033,0,0.0326,6,3,0,0,0.5664,0,0,0,0,"Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges",0,1,"Carrington College-Tucson",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23627,NA,NA,14212,2012,0.1406314063,0.3544485445,9198.5,0.888068881,0.4484549468,36736,18658,18658,0.0092250923,0.3214432144,0.4702,0.4526097118,16520,0.7900779008,27,0.5515450532,0.0444854449,0.0758507585,9500,24469,0.1857318573,0.905699057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",6269,0.016,"Phoenix",8e-04,4,5679,0.0556,0.0253,4,6,1,16664,0,0.0911,11,104090,-2,1186,1,0,0,1,0,22,85021,0.7068,0.3837,0,0.3786,0,0.156,4,3,0,0,0.2766,0,0,0,0,"Accrediting Council for Independent Colleges and Schools",0,9,"Brookline College-Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29286,NA,NA,15400,2012,0.1322333812,0.3345289335,9500,0.920133907,0.436716792,28335,14767,14767,0.0193687231,0.2489239598,0.6069,0.4520676692,12830,0.7869440459,28,0.563283208,0.0332376853,0.0607364897,9500,18144,0.2020564323,0.926590148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2173,0.0172,"Tempe",0.0022,4,9599,0.0195,0.0159,2,1,1,2724,9e-04,0.0754,12,105668,-2,10833,1,0,0,1,0,9,85281,0.2906,1,0,0.5019,0,0.1951,1,1,0,0,0.172,0,0,0,0.778,"North Central Association of Colleges and Schools The Higher Learning Commission",0,4,"Rio Salado College",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12822,NA,1854,7638,NA,2012,0.2981466042,0.5825691015,4003,0.90675303,0.4522329462,35421,17932,17932,0.0118001667,0.1033797217,0.2746,0.4839685915,12686,0.645289553,33,0.5477670538,0.0906175848,0.1588533316,12108,19740,0.2326685051,0.770473931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",5285,7e-04,"Yuma",0.0027,4,6175,0.0114,0.0102,2,1,1,679,0.0821,0.0294,13,104160,-2,7442,1,0,0,1,0,5,85365,0.5804,0.3233,0,0.2008,0,0.0328,1,1,0,0,0.6299,0,0,1,0.6395,"North Central Association of Colleges and Schools The Higher Learning Commission",0,3,"Arizona Western College",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13804,NA,2360,7687,NA,2012,0.136458531,0.258682862,3500,0.977604859,0.3821540062,30206,19332,19332,0.006263048,0.5961282976,0.0595,0.4443288241,21785,0.5388119188,23,0.6178459938,0.0497248055,0.0892009869,5979,25814,0.1766938698,0.107041184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1722,0.0391,"Tucson",0.0043,4,5136,0.0609,0.0239,3,6,0,19470,0,0.0609,21,105163,-2,460,0,0,0,2,0,28,85704,0.7582,0.0732,0,0.3696,0,0.0652,142,3,0,0,0.3761,1,0,0,0.2587,"Accrediting Council for Independent Colleges and Schools",0,6,"ITT Technical Institute-Tucson",NA,NA,0.8327,0.816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26988,NA,18048,18048,NA,2012,0.1084465446,0.297031896,9895,0.853839339,0.47632469,40287,20345,20345,0.1503544005,0.234037212,0.7602,0.4685268696,17679,0.3025398701,29,0.52367531,0.0306999409,0.0537950384,18772,25012,0.2448759598,0.839958653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",3241,0.0799,"Avondale",0.0297,4,5008,0.0597,0.0245,2,4,1,12401,0,0.0261,22,106041,-2,2529,1,0,0,2,0,11,85323,0.5148,NA,0,0.5247,0,0.0372,5,3,0,0,0.2183,0,0,0,0,"Accrediting Commission of Career Schools and Colleges",0,3,"Universal Technical Institute of Arizona Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25314,NA,NA,39525,2012,0.0801663676,0.2493068015,13625,0.752405807,0.4517378352,54790,21199,21199,0.0281357038,0.6221660414,0.6589,0.4692154916,28260,0.0279725983,23,0.5482621648,0.0243842766,0.0410210406,17949.5,42098,0.128200946,0.903278421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",7609,0,"Phoenix",0.0051,4,NA,0.0556,0,1,-2,0,8236,0,0.0354,11,106111,-2,198,1,0,0,1,0,-2,85051,0.7317,NA,0,0.2727,0,0.2121,15,3,0,0,0.4192,0,0,0,0.2626,"National Accrediting Commission of Cosmetology Arts and Sciences",0,-2,"Empire Beauty School-NW Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17135,NA,NA,16000,2012,0.1710914454,0.4601769912,9362,0.92920354,0.4471544715,27585,9015,9015,NA,0.3274336283,0.6402,0.4308943089,8864,0.8997050147,26,0.5528455285,0.0412979351,0.0766961652,12046,15095,0.1297935103,0.855457227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",3140,0.023,"Douglas",0.0056,4,6501,0.0085,0.0177,2,2,1,744,0.0021,0.0233,42,104425,-2,3775,1,0,0,2,0,9,85607,0.3347,0.2801,0,0.4318,0,0.0609,1,1,0,0,0.427,0,0,1,0.6313,"North Central Association of Colleges and Schools The Higher Learning Commission",0,3,"Cochise County Community College District",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8811,NA,1680,6960,NA,2012,0.1404233351,0.2973670625,3862,0.937016004,0.4882425743,31247,20031,20031,0.0103252452,0.4925141972,0.0774,0.4158415842,19786,0.575116159,25,0.5117574257,0.0505937016,0.0800206505,5957.5,25555,0.2250903459,0.21011874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",5044,0.0125,"Phoenix",0.0018,4,10008,0.0375,0.034,2,1,1,1488,0.0027,0.105,11,105428,-2,9383,1,0,0,1,0,2,85013,0.47,0.9793,0,0.2816,0,0.1334,1,1,0,0,0.3916,0,0,1,0.6903,"North Central Association of Colleges and Schools The Higher Learning Commission",0,4,"Phoenix College",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12029,NA,1854,7638,NA,2012,0.2892702887,0.5447829052,5500,0.909865879,0.4138781804,29773,15594,15594,0.0086383269,0.3326892476,0.2761,0.4447185813,14924,0.602068652,28,0.5861218196,0.0958172312,0.1621959536,10093.5,20311,0.1640145488,0.554671516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",5299,0.0113,"Phoenix",0.002,4,9977,0.0159,0.0257,2,1,1,1876,0.0032,0.091,11,364016,-2,6656,1,0,0,1,0,3,85032,0.2577,1,0,0.646,0,0.0395,1,1,0,0,0.1654,0,0,0,0.639,"North Central Association of Colleges and Schools The Higher Learning Commission",0,3,"Paradise Valley Community College",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11063,NA,1854,7638,NA,2012,0.2961165049,0.5457332652,4500,0.83776188,0.5212702217,41400,20348,20348,0.0107307103,0.4680633623,0.1714,0.4215098862,21817,0.5784363822,26,0.4787297783,0.105518651,0.1752682678,NA,30202,0.1461420542,0.519417476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2399,0.0244,"Glendale",0.0017,4,1157,0.0611,0.0122,2,4,1,11275,0,0.014,21,421708,-2,573,1,0,0,1,0,10,85302,0.8365,1,0,0.3229,0,0.1222,2,3,0,0,0.4415,0,0,0,0,"Accrediting Bureau of Health Education Schools",0,2,"Arizona College-Glendale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23432,NA,14935,14935,NA,2012,0.1842431762,0.4019851117,9427,0.913151365,0.422829582,30782,17224,17224,0.0117866005,0.3045905707,0.8886,0.4372990354,15007,0.817617866,28,0.577170418,0.0657568238,0.0986352357,9475,21354,0.2363523573,0.813895782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",4650,0.0108,"Phoenix",0.0029,4,4792,0.0236,0.0147,3,11,1,13708,0,0.4479,11,428444,-2,1018,1,0,0,3,0,30,85021,0.6403,0.2917,0,0.2073,0,0.0334,33,3,0,0,0.2593,0,0,0,0.2171,"Accrediting Council for Independent Colleges and Schools",0,6,"The Art Institute of Phoenix",NA,NA,0.9726,0.6008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30526,NA,17616,17616,NA,2012,0.1426151762,0.3767245627,8168,0.894709288,0.4737657909,39358,16480,16480,0.0237743287,0.2832902193,0.8429,0.4730682787,14933,0.6911185021,28,0.5262342091,0.0378171964,0.0686745504,17800,22961,0.1864375462,0.904841094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",5555,0.0081,"Thatcher",0.0032,4,8186,0.0826,0.0118,2,1,1,752,0.0073,0.0347,33,104577,-2,5071,1,0,0,1,0,8,85552,0.2165,0.2688,0,0.6198,0,0.0398,1,1,0,0,0.1927,0,0,0,0.564,"North Central Association of Colleges and Schools The Higher Learning Commission",0,3,"Eastern Arizona College",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10656,NA,1760,8360,NA,2012,0.218404908,0.3564417178,NA,NA,0.5640658554,30900,12751,12751,0.0073619632,0.5331288344,0,0.4030064424,17497,0.5754601227,24,0.4359341446,0.1012269939,0.1478527607,NA,22427,0.1834355828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",6542,0.0292,"Mesa",0.0088,4,4148,0.1124,0.0088,2,4,0,14755,0,0.0307,11,103909,-2,685,1,0,0,1,0,10,85210,0.4926,0.1944,0,0.4949,0,0.0715,6,3,0,0,0.2438,0,0,0,0,"Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges",0,2,"Carrington College-Mesa",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25245,NA,NA,14212,2012,0.1406314063,0.3544485445,9198.5,0.888068881,0.4484549468,36736,18658,18658,0.0092250923,0.3214432144,0.5346,0.4526097118,16520,0.7900779008,27,0.5515450532,0.0444854449,0.0758507585,9500,24469,0.1857318573,0.905699057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",7510,0.0427,"Flagstaff",0.0031,4,7987,0.0361,0.0148,4,13,1,7331,0.0412,0.0068,13,105330,-2,21627,1,0,0,3,0,16,86011,0.4085,0.6458,0,0.6408,0,0.0325,1,1,0,0,0.1821,0,0,1,0.1506,"North Central Association of Colleges and Schools The Higher Learning Commission",0,16,"Northern Arizona University",NA,NA,0.7632,0.7632,470,580,470,590,460,560,525,530,510,20,25,19,25,20,26,6,8,23,22,23,7,1053,1053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22686,NA,9272,9272,NA,2012,0.3261423475,0.5668421947,12500,0.633769322,0.6280499162,77256,28878,28878,0.0058603703,0.6484627145,0.5685,0.336841125,41330,0.6143196874,24,0.3719500838,0.1426872771,0.2147953117,20000,60249,0.1356378461,0.869288262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
