"","inexpfte","city","st_fips","avgfacsal","highdeg","ccugprof","main","tuitfte","locale","unitid","relaffil","curroper","distanceonly","womenonly","preddeg","annhi","ccbasic","zip","pftfac","hbcu","nanti","numbranch","control","pbi","menonly","hcm2","aanapii","hsi","accredagency","tribal","ccsizset","instnm","sch_deg","locale2","adm_rate","adm_rate_all","satvr25","satvr75","satmt25","satmt75","satwr25","satwr75","satvrmid","satmtmid","satwrmid","actcm25","actcm75","acten25","acten75","actmt25","actmt75","actwr25","actwr75","actcmmid","actenmid","actmtmid","actwrmid","sat_avg","sat_avg_all","ugds","ug","ugds_white","ugds_black","ugds_hisp","ugds_asian","ugds_aian","ugds_nhpi","ugds_2mor","ugds_nra","ugds_unkn","ugds_whitenh","ugds_blacknh","ugds_api","ugds_aianold","ugds_hispold","ug_nra","ug_unkn","ug_whitenh","ug_blacknh","ug_api","ug_aianold","ug_hispold","pptug_ef2","costt4_a","costt4_p","tuitionfee_in","tuitionfee_out","tuitionfee_prog","pctpell","year","pctfloan","ug25abv","par_ed_pct_ms","par_ed_pct_hs","par_ed_pct_ps","appl_sch_pct_ge2","appl_sch_pct_ge3","appl_sch_pct_ge4","appl_sch_pct_ge5","dep_inc_avg","ind_inc_avg","debt_mdn","grad_debt_mdn","loan_ever","pell_ever","age_entry","age_entry_sq","agege24","female","married","dependent","veteran","first_gen","faminc","md_faminc","faminc_ind","lnfaminc","lnfaminc_ind","pct_white","pct_black","pct_asian","pct_hispanic","pct_ba","pct_grad_prof","pct_born_us","median_hh_inc","poverty_rate","unemp_rate","ln_median_hh_inc"
"13",2581,"Tucson",4,3047,2,4,0,13497,11,103927,-2,1,0,0,1,0,10,85745,0.5,0,0,6,3,0,0,0,0,0,"Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges",0,1,"Carrington College-Tucson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",6269,"Phoenix",4,5679,4,6,1,16664,11,104090,-2,1,0,0,1,0,22,85021,0.3837,0,0,4,3,0,0,0,0,0,"Accrediting Council for Independent Colleges and Schools",0,9,"Brookline College-Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1313,NA,0,0,0,0,0,0,0,0,0.0487,0.2925,0.2559,0.0091,0.0579,0.3359,NA,NA,NA,NA,NA,NA,NA,0,NA,23405,NA,NA,14250,0.9392,2009,0.9562,0.5605,NA,0.4839802032,0.4006251628,0.2190650779,0.0656278643,0.0271310724,0.0142988084,25071,12998,8021.5,9500,0.910174152,0.960586618,28,NA,NA,0.7937671861,0.1992667278,0.1846012832,0.0170485793,0.5993748372,15227,9814,12998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2173,"Tempe",4,9599,2,1,1,2724,12,105668,-2,1,0,0,1,0,9,85281,1,0,0,1,1,0,0,0,0,0,"North Central Association of Colleges and Schools The Higher Learning Commission",0,4,"Rio Salado College",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8632,NA,0,0,0,0,0,0,0,0.0019,0.1496,0.5522,0.1092,0.0236,0.0191,0.1443,NA,NA,NA,NA,NA,NA,NA,0.8297,14648,NA,1734,7518,NA,0.0984,2009,0.1233,0.4861,NA,0.4543248014,0.4849955869,0.5404893022,0.2455538503,0.1174505733,0.0581384851,46140,28075,4750,10500,0.774036291,0.803286088,32,NA,NA,0.685203575,0.335108784,0.1040895549,0.045499684,0.5150044131,29955,22549,28075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",5285,"Yuma",4,6175,2,1,1,679,13,104160,-2,1,0,0,1,0,5,85365,0.3233,0,0,1,1,0,0,0,0,1,"North Central Association of Colleges and Schools The Higher Learning Commission",0,3,"Arizona Western College",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7269,NA,0.223,0.0297,0.5777,0.0165,0.0147,0.0019,0,0.1066,0.0299,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.6419,13103,NA,2000,6560,NA,0.4476,2009,0.0861,0.3596,NA,0.4458333333,0.3604166667,0.1668068995,0.0700462768,0.0376525032,0.0218763147,30347,21283,4000,NA,0.177114009,0.967185528,24,NA,NA,0.5694152293,0.2156079091,0.5395456458,0.0265039966,0.6395833333,26173,22320,21283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1722,"Tucson",4,5136,3,6,0,19470,21,105163,-2,0,0,0,2,0,28,85704,0.0732,0,0,142,3,0,0,1,0,0,"Accrediting Council for Independent Colleges and Schools",0,6,"ITT Technical Institute-Tucson",NA,NA,0.5327,0.4592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494,NA,0,0.0202,0,0,0,0,0,0,0.087,0.3968,0.0405,0.0101,0.0405,0.4049,NA,NA,NA,NA,NA,NA,NA,0.1559,25877,NA,17148,17148,NA,0.5693,2009,0.8277,0.6336,NA,0.4920828258,0.4494518879,0.2093408413,0.0642596886,0.0288174892,0.0168930109,46040,21773,9500,26944,0.910566413,0.795296456,27,NA,NA,0.2719443524,0.2013911891,0.332891686,0.11725737,0.5505481121,29851,20939,21773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",3241,"Avondale",4,5008,2,4,1,12401,22,106041,-2,1,0,0,2,0,11,85323,NA,0,0,5,3,0,0,0,0,0,"Accrediting Commission of Career Schools and Colleges",0,3,"Universal Technical Institute of Arizona Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3088,NA,0.4595,0.0253,0.2196,0.0272,0.0525,0.0149,0.0457,3e-04,0.1551,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,76901,NA,NA,27400,0.3174,2009,0.498,0.2115,NA,0.4586821384,0.4789888106,0.1877943887,0.0488087924,0.0215031743,0.0119462079,61891,22609,11625,14750,0.943340842,0.679909892,22,NA,NA,0.0251894327,0.1094272647,0.6440030036,0.0634855622,0.5210111894,47906,33416,22609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",7609,"Phoenix",4,NA,1,-2,0,8236,11,106111,-2,1,0,0,1,0,-2,85051,NA,0,0,15,3,0,0,0,0,0,"National Accrediting Commission of Cosmetology Arts and Sciences",0,-2,"Empire Beauty School-NW Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,NA,0.2637,0.1542,0.3532,0.0199,0.0199,0,0.0299,0,0.1592,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.3433,NA,32257,NA,NA,16000,0.8698,2009,0.9284,0.4577,NA,0.4068322981,0.5155279503,0.3580705009,0.0723562152,NA,NA,35913,14255,6000,10536,0.935064935,0.896103896,25,NA,NA,0.9350649351,0.1762523191,0.2949907236,NA,0.4844720497,20644,11089,14255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",3140,"Douglas",4,6501,2,2,1,744,42,104425,-2,1,0,0,2,0,9,85607,0.2801,0,0,1,1,0,0,0,0,1,"North Central Association of Colleges and Schools The Higher Learning Commission",0,3,"Cochise County Community College District",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3504,NA,0.2041,0.0305,0.2061,0.0088,0.0077,0.0051,0.0083,0.0023,0.0394,0.2158,0.0214,0.0148,0.0017,0.234,NA,NA,NA,NA,NA,NA,NA,0.6846,7779,NA,1422,6749,NA,0.281,2009,0.1013,0.4408,NA,0.4001164822,0.5020384391,0.2386910491,0.0952839269,0.0457170356,0.0255052936,29114,19379,3500,6750,0.271414822,0.93840231,26,NA,NA,0.603946102,0.2377285852,0.4489894129,0.0664100096,0.4979615609,23750,17860,19379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",5044,"Phoenix",4,10008,2,1,1,1488,11,105428,-2,1,0,0,1,0,2,85013,0.9793,0,0,1,1,0,0,0,0,1,"North Central Association of Colleges and Schools The Higher Learning Commission",0,4,"Phoenix College",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7670,NA,0,0,0,0,0,0,0,0.0056,0.1332,0.3468,0.1164,0.033,0.0432,0.3218,NA,NA,NA,NA,NA,NA,NA,0.7,12114,NA,1734,7518,NA,0.1745,2009,0.1074,0.5039,NA,0.4523063144,0.4263322884,0.3982994331,0.1795598533,0.0863621207,0.0455151717,33193,19700,5250,6447,0.548182728,0.878626209,28,NA,NA,0.6158719573,0.1985661887,0.3637879293,0.0240080027,0.5736677116,24609,18628,19700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",5299,"Phoenix",4,9977,2,1,1,1876,11,364016,-2,1,0,0,1,0,3,85032,1,0,0,1,1,0,0,0,0,0,"North Central Association of Colleges and Schools The Higher Learning Commission",0,3,"Paradise Valley Community College",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3929,NA,0,0,0,0,0,0,0,0.0018,0.1178,0.6859,0.0316,0.0318,0.0163,0.1148,NA,NA,NA,NA,NA,NA,NA,0.6302,12092,NA,1734,7518,NA,0.1289,2009,0.1326,0.3864,NA,0.4178370787,0.5389747191,0.3973053892,0.1781437126,0.0925149701,0.051497006,48478,24694,4500,NA,0.615568862,0.760179641,26,NA,NA,0.5721556886,0.1667664671,0.4556886228,0.0335329341,0.4610252809,35532,25742,24694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2399,"Glendale",4,1157,2,4,1,11275,21,421708,-2,1,0,0,1,0,10,85302,1,0,0,2,3,0,0,0,0,0,"Accrediting Bureau of Health Education Schools",0,2,"Arizona College-Glendale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,740,NA,0.473,0.1392,0.223,0.027,0.0338,0.0068,0.0135,0.0014,0.0824,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,22110,NA,13525,13525,NA,0.5328,2009,0.6859,0.6243,NA,0.4857496902,0.4237918216,0.2393655371,0.0879596251,0.0360490267,0.0187454939,38220,22664,7500,9500,0.886085076,0.847152127,30,NA,NA,0.8320115357,0.2883922134,0.214852199,0.0259552992,0.5762081784,26006,17007,22664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",4650,"Phoenix",4,4792,3,11,1,13708,11,428444,-2,1,0,0,3,0,30,85021,0.2917,0,0,33,3,0,0,0,0,0,"Accrediting Council for Independent Colleges and Schools",0,6,"The Art Institute of Phoenix",NA,NA,0.4592,0.4592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1243,NA,0,0,0,0,0,0,0,0,0.7514,0.1488,0.0129,0.0097,0.0105,0.0668,NA,NA,NA,NA,NA,NA,NA,0.1706,34942,NA,22766,22766,NA,0.4029,2009,0.8703,0.3057,NA,0.4955878645,0.4452474998,0.7590819583,0.2100224078,0.0692605419,0.030080804,49853,20550,4365.5,22645,0.907313098,0.591906023,29,NA,NA,0.7094452366,0.2144360698,0.2628505466,0.0389760304,0.5547525002,28252,18118,20550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",5555,"Thatcher",4,8186,2,1,1,752,33,104577,-2,1,0,0,1,0,8,85552,0.2688,0,0,1,1,0,0,0,0,0,"North Central Association of Colleges and Schools The Higher Learning Commission",0,3,"Eastern Arizona College",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4472,NA,0.6123,0.0295,0.2077,0.0143,0.0908,7e-04,0.0049,0.0076,0.0322,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.5534,10674,NA,1520,8120,NA,0.2122,2009,0,0.5647,NA,0.4513148543,0.5060412225,0.2928743961,0.1467391304,0.0803140097,0.0507246377,30491,15565,NA,NA,NA,NA,25,NA,NA,0.5869565217,0.2312801932,0.4202898551,0.018115942,0.4939587775,21838,17105,15565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",6542,"Mesa",4,4148,2,4,0,14755,11,103909,-2,1,0,0,1,0,10,85210,0.1944,0,0,6,3,0,0,0,0,0,"Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges",0,2,"Carrington College-Mesa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",7510,"Flagstaff",4,7987,4,13,1,7331,13,105330,-2,1,0,0,3,0,16,86011,0.6458,0,0,1,1,0,0,0,0,1,"North Central Association of Colleges and Schools The Higher Learning Commission",0,16,"Northern Arizona University",NA,NA,0.7291,0.7291,470,580,470,590,450,560,525,530,505,20,25,19,25,19,25,6,8,23,22,22,7,1053,1053,18034,NA,0.6952,0.0322,0.142,0.0238,0.0535,0.0025,0.0109,0.0259,0.014,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.1572,16653,NA,6632,17858,NA,0.2638,2009,0.4727,0.2233,NA,0.332096475,0.6393102696,0.4569284642,0.231915958,0.1355677839,0.0856428214,82406,32382,9250,15315,0.897448724,0.626813407,23,NA,NA,0.6107053527,0.1376688344,0.6607303652,0.023911956,0.3606897304,65434,48503,32382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
